% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
244.0,436.0,5.0,2.0,340.0,252.0,68.0,560.0,281.0,112.0,No
1026.0,921.0,14.0,3.0,701.0,275.0,50.0,469.0,171.0,33.0,No
92.0,69.0,3.0,3.0,40.0,29.0,13.0,259.0,171.0,86.0,No
180.0,42.0,4.0,2.0,27.0,12.0,6.0,236.0,171.0,59.0,No
471.0,308.0,9.0,3.0,146.0,64.0,16.0,416.0,171.0,46.0,No
204.0,92.0,5.0,3.0,86.0,76.0,17.0,346.0,171.0,69.0,No
551.0,155.0,7.0,3.0,85.0,42.0,12.0,412.0,171.0,58.0,No
149.0,54.0,5.0,3.0,35.0,15.0,7.0,399.0,171.0,79.0,No
157.0,20.0,3.0,3.0,13.0,12.0,4.0,275.0,171.0,91.0,No
147.0,0.0,1.0,1.0,0.0,0.0,0.0,61.0,61.0,61.0,No
137.0,275.0,5.0,3.0,143.0,113.0,28.0,269.0,171.0,53.0,No
271.0,40.0,4.0,3.0,31.0,12.0,7.0,266.0,171.0,66.0,No
205.0,15.0,4.0,2.0,8.0,4.0,2.0,336.0,171.0,84.0,No
548.0,1122.0,9.0,3.0,630.0,401.0,70.0,471.0,171.0,52.0,No
728.0,1134.0,6.0,2.0,931.0,714.0,155.0,223.0,97.0,37.0,No
50.0,6.0,2.0,2.0,3.0,3.0,1.0,232.0,171.0,116.0,No
185.0,45.0,5.0,3.0,23.0,16.0,4.0,352.0,171.0,70.0,No
61.0,10.0,3.0,3.0,5.0,4.0,1.0,250.0,171.0,83.0,No
157.0,96.0,8.0,3.0,43.0,26.0,5.0,446.0,171.0,55.0,No
81.0,23.0,4.0,3.0,12.0,7.0,3.0,364.0,171.0,91.0,No
84.0,99.0,3.0,2.0,50.0,46.0,16.0,329.0,171.0,109.0,No
762.0,1615.0,12.0,3.0,915.0,520.0,76.0,488.0,171.0,40.0,No
248.0,130.0,7.0,3.0,90.0,32.0,12.0,376.0,171.0,53.0,No
169.0,155.0,9.0,3.0,92.0,28.0,10.0,454.0,171.0,50.0,No
196.0,74.0,6.0,3.0,46.0,17.0,7.0,372.0,171.0,62.0,No
67.0,18.0,4.0,3.0,9.0,7.0,2.0,254.0,171.0,63.0,No
165.0,61.0,4.0,3.0,44.0,30.0,11.0,356.0,171.0,89.0,No
173.0,43.0,4.0,3.0,23.0,17.0,5.0,356.0,171.0,89.0,No
103.0,151.0,6.0,2.0,127.0,101.0,21.0,305.0,171.0,50.0,No
78.0,78.0,1.0,1.0,78.0,78.0,78.0,27.0,27.0,27.0,No
87.0,2.0,2.0,2.0,1.0,1.0,0.0,232.0,171.0,116.0,No
85.0,2.0,2.0,2.0,1.0,1.0,0.0,232.0,171.0,116.0,No
105.0,107.0,2.0,1.0,106.0,61.0,53.0,78.0,43.0,39.0,No
216.0,232.0,4.0,2.0,224.0,216.0,56.0,51.0,43.0,12.0,No
377.0,417.0,4.0,2.0,397.0,377.0,99.0,51.0,43.0,12.0,No
253.0,257.0,2.0,1.0,255.0,251.0,127.0,39.0,35.0,19.0,No
193.0,193.0,1.0,1.0,193.0,193.0,193.0,35.0,35.0,35.0,No
514.0,514.0,1.0,1.0,514.0,514.0,514.0,35.0,35.0,35.0,No
204.0,204.0,1.0,1.0,204.0,204.0,204.0,35.0,35.0,35.0,No
144.0,144.0,1.0,1.0,144.0,144.0,144.0,35.0,35.0,35.0,No
98.0,98.0,1.0,1.0,98.0,98.0,98.0,35.0,35.0,35.0,No
181.0,47.0,7.0,3.0,25.0,9.0,3.0,404.0,171.0,57.0,No
154.0,95.0,4.0,3.0,87.0,71.0,21.0,266.0,171.0,66.0,No
393.0,376.0,11.0,3.0,280.0,111.0,25.0,449.0,171.0,40.0,No
